"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.866100050E-1,2.027917206E-1,-1.363908947E-1,9.917651176E0,9.920661864E0
1.891115150E-1,1.932204217E-1,-1.411765367E-1,9.922437668E0,9.925322877E0
1.916129730E-1,1.740778536E-1,-1.411765367E-1,9.912865639E0,9.915399089E0
1.941119840E-1,2.315055877E-1,-1.220339537E-1,9.941579819E0,9.945023701E0
1.966109420E-1,2.027917206E-1,-1.363908947E-1,9.884152412E0,9.887173300E0
1.991099530E-1,2.171486616E-1,-1.076770201E-1,9.884152412E0,9.887123788E0
2.016089630E-1,2.171486616E-1,-1.172483116E-1,9.884152412E0,9.887232657E0
2.041079210E-1,1.932204217E-1,-9.810572863E-2,9.893723488E0,9.896096368E0
2.066064630E-1,1.884347796E-1,-1.411765367E-1,9.898509026E0,9.901308975E0
2.090969320E-1,1.884347796E-1,-1.268195957E-1,9.893723488E0,9.896330397E0
2.115874000E-1,2.171486616E-1,-1.603191197E-1,9.912865639E0,9.916539766E0
2.140859420E-1,2.123630047E-1,-1.603191197E-1,9.946365356E0,9.949923822E0
2.165844320E-1,1.788634956E-1,-1.651047617E-1,9.946365356E0,9.949343473E0
2.190829730E-1,1.980060786E-1,-9.810572863E-2,9.917651176E0,9.920112701E0
2.215815150E-1,2.027917206E-1,-1.507478207E-1,9.884152412E0,9.887381772E0
2.240800570E-1,1.788634956E-1,-1.268195957E-1,9.884152412E0,9.886584055E0
2.265794320E-1,2.123630047E-1,-1.124626622E-1,9.946365356E0,9.949267797E0
2.290937030E-1,1.932204217E-1,-1.698904037E-1,9.917651176E0,9.920987942E0
2.316079730E-1,2.315055877E-1,-1.172483116E-1,9.840482712E0,9.843903799E0
2.341073480E-1,2.075773627E-1,-1.555334777E-1,9.893723488E0,9.897122990E0
2.366066710E-1,1.932204217E-1,-1.411765367E-1,9.970293999E0,9.973165363E0
2.391060460E-1,1.884347796E-1,-1.459621787E-1,9.927223206E0,9.930084249E0
2.416054210E-1,1.692921966E-1,-1.028913707E-1,9.888937950E0,9.890922114E0
2.441047960E-1,1.980060786E-1,-1.363908947E-1,9.884152412E0,9.887076302E0
2.466038590E-1,2.075773627E-1,-1.363908947E-1,9.936794281E0,9.939897958E0
2.490974000E-1,1.692921966E-1,-1.268195957E-1,9.912865639E0,9.915122199E0
2.515908900E-1,2.410768867E-1,-1.363908947E-1,9.879366875E0,9.883248979E0
2.540899530E-1,1.692921966E-1,-1.555334777E-1,9.893723488E0,9.896394038E0
2.565889630E-1,2.075773627E-1,-1.507478207E-1,9.912865639E0,9.916184671E0
2.590880250E-1,1.836491376E-1,-1.507478207E-1,9.908080101E0,9.910928473E0
