"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.612960290E-1,-2.469619036E0,6.400898457E0,6.702567577E0
5.713953300E-1,-2.455253839E0,6.396110058E0,6.707355976E0
5.814229440E-1,-2.460042238E0,6.396110058E0,6.688202381E0
5.914759840E-1,-2.455253839E0,6.400898457E0,6.692990780E0
6.014576680E-1,-2.474407434E0,6.391321659E0,6.683413982E0
6.114812680E-1,-2.464830637E0,6.400898457E0,6.707355976E0
6.214441160E-1,-2.464830637E0,6.415263653E0,6.683413982E0
6.315173820E-1,-2.474407434E0,6.420052052E0,6.692990780E0
6.415821680E-1,-2.474407434E0,6.396110058E0,6.712144375E0
6.515207040E-1,-2.474407434E0,6.400898457E0,6.707355976E0
6.615406370E-1,-2.460042238E0,6.420052052E0,6.683413982E0
6.715798640E-1,-2.474407434E0,6.405686855E0,6.697779179E0
6.815999000E-1,-2.455253839E0,6.420052052E0,6.673837185E0
6.916218330E-1,-2.474407434E0,6.424840450E0,6.688202381E0
7.017117260E-1,-2.460042238E0,6.410475254E0,6.688202381E0
7.116765620E-1,-2.464830637E0,6.434417248E0,6.697779179E0
7.216998180E-1,-2.479195833E0,6.420052052E0,6.697779179E0
7.317448890E-1,-2.469619036E0,6.405686855E0,6.683413982E0
7.418300360E-1,-2.479195833E0,6.410475254E0,6.712144375E0
7.518455310E-1,-2.469619036E0,6.405686855E0,6.702567577E0
7.618213690E-1,-2.483984232E0,6.405686855E0,6.702567577E0
7.718596360E-1,-2.469619036E0,6.420052052E0,6.716932774E0
7.819345430E-1,-2.464830637E0,6.396110058E0,6.716932774E0
