,0,1,2
0,-149.7035675048828,-53.46357727050781,-6.487154483795166
1,-150.09063720703125,-23.837148666381836,-5.917763710021973
2,-162.60409545898438,-23.765377044677734,-6.005100727081299
3,-141.7885284423828,-23.59284019470215,-5.915533542633057
4,-141.7885284423828,-23.59284019470215,-5.927701473236084
5,-152.63050842285156,-23.607807159423828,-6.8951263427734375
6,-153.04290771484375,-32.707969665527344,-6.860561847686768
7,-163.7687225341797,-32.61378860473633,-5.871531009674072
8,-142.1083221435547,-32.41688537597656,-5.78257942199707
9,-142.1083221435547,-32.41688537597656,-5.8128204345703125
10,-153.38186645507812,-32.51070022583008,-6.65912389755249
11,-153.10934448242188,-41.55222702026367,-6.769475936889648
12,-163.22003173828125,-41.376068115234375,-5.7777934074401855
13,-147.77398681640625,-41.129798889160156,-5.485448360443115
14,-147.77398681640625,-41.129798889160156,-5.515295505523682
15,-147.77398681640625,-41.129798889160156,-5.502597332000732
16,-147.02748107910156,-49.94581985473633,-5.728977203369141
17,-163.26971435546875,-49.668235778808594,-5.567625522613525
18,-141.24928283691406,-49.30157470703125,-4.054058074951172
19,-141.24928283691406,-49.30157470703125,-4.080742359161377
20,-152.96043395996094,-49.33107376098633,-5.971979141235352
21,-150.26414489746094,-54.58439254760742,-6.005409240722656
