,0,1,2
0,-405.0,-105.0,-9.9960298538208
1,-396.5338134765625,-105.0,-10.415227890014648
2,-387.47625732421875,-105.0,-10.885190963745117
3,-377.6815490722656,-105.0,-13.156248092651367
4,-368.8173522949219,-105.0,-13.712695121765137
5,-362.35400390625,-105.0,-14.026887893676758
6,-352.7349853515625,-105.0,-14.341462135314941
7,-345.77557373046875,-105.0,-14.822795867919922
8,-336.7594909667969,-105.0,-15.218552589416504
9,-327.0577392578125,-105.0,-17.279767990112305
10,-320.0888366699219,-105.0,-17.698612213134766
11,-311.0458984375,-105.0,-18.03307342529297
12,-302.9197998046875,-105.0,-18.363819122314453
13,-294.18695068359375,-105.0,-18.607540130615234
14,-285.6622619628906,-105.0,-18.9670352935791
15,-276.5735778808594,-105.0,-22.677339553833008
16,-268.6620178222656,-105.0,-22.904273986816406
17,-259.812255859375,-105.0,-21.148469924926758
18,-250.9735870361328,-105.0,-21.40192222595215
19,-242.6619873046875,-105.0,-19.661771774291992
20,-234.27035522460938,-105.0,-19.924015045166016
21,-225.33189392089844,-105.0,-20.181852340698242
22,-217.16395568847656,-105.0,-20.35957145690918
23,-207.7920379638672,-105.0,-20.5648250579834
24,-199.43280029296875,-105.0,-20.764772415161133
25,-191.5972137451172,-105.0,-20.97308921813965
26,-181.50392150878906,-105.0,-26.32141876220703
27,-174.56350708007812,-105.0,-26.46194076538086
28,-165.71749877929688,-105.0,-20.738388061523438
29,-157.58595275878906,-105.0,-20.91141128540039
30,-148.33616638183594,-105.0,-20.971717834472656
31,-140.3579864501953,-105.0,-22.926799774169922
32,-130.83578491210938,-105.0,-22.908485412597656
33,-123.64803314208984,-105.0,-21.208486557006836
34,-114.51246643066406,-105.0,-21.22954750061035
35,-106.66407775878906,-105.0,-21.391841888427734
36,-98.06536865234375,-105.0,-21.399784088134766
37,-89.53861236572266,-105.0,-21.468982696533203
38,-79.15105438232422,-105.0,-21.517559051513672
39,-72.75917053222656,-105.0,-21.609514236450195
40,-64.08948516845703,-105.0,-21.648672103881836
41,-55.56043243408203,-105.0,-21.648283004760742
42,-47.014503479003906,-105.0,-23.364700317382812
43,-38.59978103637695,-105.0,-23.263099670410156
44,-29.2863712310791,-105.0,-23.030994415283203
45,-21.28312110900879,-105.0,-22.958187103271484
46,-13.092161178588867,-105.0,-20.931564331054688
47,-4.417771339416504,-105.0,-20.839370727539062
48,4.112338542938232,-105.0,-20.723798751831055
49,12.262341499328613,-105.0,-20.533798217773438
50,20.78434181213379,-105.0,-20.460697174072266
51,30.09023094177246,-105.0,-20.19799041748047
52,37.6963996887207,-105.0,-20.043092727661133
53,46.16815948486328,-105.0,-19.87980842590332
54,54.65314483642578,-105.0,-19.63532257080078
55,63.05411148071289,-105.0,-19.36880111694336
56,72.29656982421875,-105.0,-19.003034591674805
57,79.7730712890625,-105.0,-18.769716262817383
58,88.37733459472656,-105.0,-18.494054794311523
59,96.71188354492188,-105.0,-18.107921600341797
60,105.27322387695312,-105.0,-17.65831184387207
61,113.60273742675781,-105.0,-17.28431510925293
62,122.1341323852539,-105.0,-16.789260864257812
63,130.62567138671875,-105.0,-16.330772399902344
64,138.93040466308594,-105.0,-15.848793983459473
65,147.8404998779297,-105.0,-15.270210266113281
66,155.75457763671875,-105.0,-14.739925384521484
67,164.15371704101562,-105.0,-14.056333541870117
68,172.52435302734375,-105.0,-13.32980728149414
69,181.38034057617188,-105.0,-12.463232040405273
70,189.59225463867188,-105.0,-11.541481018066406
71,196.3445587158203,-105.0,-12.725520133972168
72,189.66485595703125,-47.87261199951172,-17.044937133789062
73,180.61886596679688,-47.895347595214844,-17.420637130737305
74,171.50106811523438,-47.89364242553711,-17.702951431274414
75,163.77178955078125,-47.88623046875,-18.121505737304688
76,155.2919158935547,-47.87651443481445,-18.438125610351562
