,0
319,1738512691126480896
320,1738512699877667584
321,1738512709225867008
322,1738512716963032064
323,1738512726344232192
324,1738512737762475776
325,1738512747482683136
326,1738512755891862528
327,1738512764958055936
328,1738512774024249344
329,1738512781059399424
330,1738512789480579072
331,1738512798165764352
332,1738512806907950848
333,1738512814987123200
334,1738512823366301952
335,1738512831409473536
336,1738512840784673536
337,1738512849163852288
338,1738512856901017344
339,1738512865625203456
340,1738512874364389888
341,1738512882416561664
342,1738512890801740544
343,1738512897917892352
344,1738512906243069952
345,1738512913992235264
346,1738512922029406720
347,1738512930738592512
348,1738512939801785856
349,1738512949248987392
350,1738512959254200832
351,1738512968077389056
352,1738512975016537088
353,1738512978007600896
